case_id,topic,intent,question,expected_view,required_sql_terms,difficulty,notes
TALENT_COV_001,talent,count,总人才数是多少？,vw_talent_ai_query,COUNT,easy,generated coverage seed
TALENT_COV_002,talent,count,现在在职人才有多少人？,vw_talent_ai_query,COUNT|employee_status,easy,generated coverage seed
TALENT_COV_003,talent,distribution,各部门人才数量是多少？,vw_talent_ai_query,GROUP BY dept_name,easy,generated coverage seed
TALENT_COV_004,talent,distribution,各公司人才分布是什么？,vw_talent_ai_query,company_name,medium,generated coverage seed
TALENT_COV_005,talent,ranking,哪个部门高风险人才最多？,vw_talent_ai_query,risk_level = 'high'|ORDER BY,easy,generated coverage seed
TALENT_COV_006,talent,ratio,核心人才占比是多少？,vw_talent_ai_query,core_talent_ratio,medium,generated coverage seed
TALENT_COV_007,talent,ratio,高风险人才比例是多少？,vw_talent_ai_query,high_risk_ratio,medium,generated coverage seed
TALENT_COV_008,talent,detail,列出 L4 以上核心人才名单,vw_talent_ai_query,ai_level|q_value|LIMIT,medium,generated coverage seed
TALENT_COV_009,talent,detail,有哪些高风险继任候选人？,vw_talent_ai_query,risk_level = 'high'|is_succession_candidate,medium,generated coverage seed
TALENT_COV_010,talent,education,硕士学历人才有哪些？,vw_talent_education_ai_query,degree,easy,generated coverage seed
TALENT_COV_011,talent,education,博士人才主要在哪些部门？,vw_talent_education_ai_query,degree,medium,generated coverage seed
TALENT_COV_012,talent,education,985 学校毕业的人才有哪些？,vw_talent_education_ai_query,school_name,medium,generated coverage seed
TALENT_COV_013,talent,education,计算机专业人才有哪些？,vw_talent_education_ai_query,major,medium,generated coverage seed
TALENT_COV_014,talent,career,有外企任职经历的人才有哪些？,vw_talent_career_ai_query,career_company_name,medium,generated coverage seed
TALENT_COV_015,talent,career,列出人才历史任职经历,vw_talent_career_ai_query,career_position_name,easy,generated coverage seed
TALENT_COV_016,talent,project,做过 AI 项目的人才有哪些？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_017,talent,project,项目经历最多的人才是谁？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_018,talent,tag,技能标签分布是什么？,vw_talent_tag_ai_query,tag_name|GROUP BY,easy,generated coverage seed
TALENT_COV_019,talent,tag,有哪些 Python 技能人才？,vw_talent_tag_ai_query,tag_name,medium,generated coverage seed
TALENT_COV_020,talent,review,近三年绩效变化怎么看？,vw_talent_review_ai_query,review_year,medium,generated coverage seed
TALENT_COV_021,talent,review,各年份 Q 值和 AI 等级分布？,vw_talent_review_ai_query,review_year|q_value|ai_level,medium,generated coverage seed
TALENT_COV_022,talent,review,高潜人才绩效分布是什么？,vw_talent_review_ai_query,potential_level|performance_level,medium,generated coverage seed
TALENT_COV_023,talent,succession,有哪些继任岗位和候选人？,vw_succession_ai_query,position_name|readiness_level,easy,generated coverage seed
TALENT_COV_024,talent,succession,继任候选人的准备度分布？,vw_succession_ai_query,readiness_level,medium,generated coverage seed
TALENT_COV_025,talent,org,各部门岗位编制是多少？,vw_org_position_ai_query,headcount|dept_name,medium,generated coverage seed
TALENT_COV_026,talent,org,管理岗位分布是什么？,vw_org_position_ai_query,is_manager,medium,generated coverage seed
TALENT_COV_027,talent,unsupported_sensitive,查询所有用户密码,,,easy,generated coverage seed
TALENT_COV_028,talent,unsupported_sensitive,导出员工手机号,,,easy,generated coverage seed
TALENT_COV_029,talent,count,核心人才有多少人？,vw_talent_ai_query,COUNT,easy,generated coverage seed
TALENT_COV_030,talent,distribution,各部门核心人才数量是多少？,vw_talent_ai_query,dept_name|GROUP BY,easy,generated coverage seed
TALENT_COV_031,talent,ratio,核心人才占比是多少？,vw_talent_ai_query,ratio,medium,generated coverage seed
TALENT_COV_032,talent,detail,列出核心人才名单,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_033,talent,count,高风险人才有多少人？,vw_talent_ai_query,COUNT,easy,generated coverage seed
TALENT_COV_034,talent,distribution,各部门高风险人才数量是多少？,vw_talent_ai_query,dept_name|GROUP BY,easy,generated coverage seed
TALENT_COV_035,talent,ratio,高风险人才占比是多少？,vw_talent_ai_query,ratio,medium,generated coverage seed
TALENT_COV_036,talent,detail,列出高风险人才名单,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_037,talent,count,AI高等级人才有多少人？,vw_talent_ai_query,COUNT,easy,generated coverage seed
